state,Latitude,Longitude,01-May-20,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020
Andaman and Nicobar Islands,11.7401,92.6586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Andhra Pradesh,15.9129,79.74,1403,1463,1525,1583,1650,1717,1777,1847,1887,1930,1980,2018,2090,2137,2205,2307,2355,2407,2474,2532,2602,2647,2709,2757,2823,3110,3171,3171,3251,3436,3569,3679,3783,3898,4080,4223,4303,4510,4708,4851,5070,5269,5429,5680,5965,6163,6456,6841,7071,7518,7961,8452,8999,9372,10002,10331,11489,12285,13241,13891,13891,13891,15252,16097,16097,22259,23814,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,35451,35451,44609,49650,53724
Arunachal Pradesh,27.10039878,93.61660071,31,33,33,33,36,36,36,38,41,44,45,45,46,47,48,48,49,50,50,52,53,53,55,56,56,56,57,58,59,60,60,62,64,64,68,71,73,73,75,75,77,78,80,80,82,84,88,88,90,92,96,101,106,111,119,124,124,148,157,169,180,180,193,198,198,218,218,239,252,264,277,292,309,328,365,408,452,452,452,586,642,696
Assam,26.7499809,94.21666744,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,11,11,11,12,14,14,14,14,14,16,22,27,35,35,36,40,46,46,46,53,57,58
Bihar,25.78541445,87.4799727,2,3,4,4,4,4,4,5,5,5,6,6,6,7,7,7,7,8,9,9,10,11,11,11,13,13,13,15,15,15,20,21,24,24,25,29,29,30,30,31,32,33,36,36,39,39,40,41,44,44,50,52,53,55,56,57,57,58,59,60,62,62,70,77,77,89,89,97,104,107,115,119,131,143,160,174,180,180,182,208,217,217
Chandigarh,30.71999697,76.78000565,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,10,11,11,11,12,12,12,12,12
Chhattisgarh,21.2787,81.8661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,4,4,4,6,6,6,6,6,8,8,9,10,10,10,11,11,12,12,12,13,13,13,13,14,14,14,14,14,14,15,17,17,19,19,20,20,20,24,24,25,24,24,24,24,25
Dadra and Nagar Haveli and Daman and Diu,20.26657819,73.0166178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
Goa,15.491997,73.81800065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,4,4,6,6,7,7,7,8,8,8,9,9,12,14,17,18,18,18,21,21,22,23
Gujarat,22.2587,71.1924,214,236,262,290,319,368,396,425,449,472,493,513,537,566,586,606,625,659,694,719,749,773,802,829,858,888,915,938,960,980,1007,1038,1063,1092,1122,1155,1190,1219,1249,1280,1313,1347,1385,1415,1448,1477,1505,1533,1560,1591,1618,1638,1663,1684,1710,1735,1771,1789,1808,1827,1867,1886,1925,1925,1925,1925,1925,1960,1977,1993,2008,2022,2032,2045,2055,2069,2079,2079,2079,2122,2142,2162
Haryana,28.45000633,77.01999101,3,4,4,5,6,6,7,7,8,9,10,11,11,11,11,11,13,14,14,14,14,15,16,16,16,16,17,18,19,19,20,20,21,23,23,24,24,24,28,39,45,52,64,70,78,88,100,118,130,134,144,149,160,169,178,188,188,211,218,223,232,232,240,251,260,260,260,276,279,282,287,290,297,301,308,312,319,319,319,344,349,355
Himachal Pradesh,31.10002545,77.16659704,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Jammu and Kashmir,34.29995933,74.46665849,8,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,12,12,13,15,17,18,20,20,21,21,23,24,26,27,28,28,28,31,33,34,35,36,39,41,45,48,51,52,53,55,59,62,63,65,71,75,81,82,85,87,88,91,93,94,95,95,105,115,127,127,127,138,143,149,154,159,169,179,187,195,206,206,206,236,244,254
Jharkhand,23.80039349,86.41998572,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,8,8,8,8,8,8,8,9,10,11,11,11,11,11,11,11,12,12,12,15,15,15,15,15,17,17,17,20,22,22,23,23,23,30,33,36,38,38,38,46,49,53
Karnataka,12.57038129,76.91999711,21,22,25,25,27,29,29,30,30,30,31,31,31,33,35,36,36,37,37,40,41,41,41,42,42,44,44,47,47,48,48,51,52,52,53,57,57,59,61,64,66,69,72,79,81,86,89,94,102,114,124,132,137,142,150,164,180,191,207,226,226,253,272,335,335,401,416,416,416,470,486,543,613,684,,757,842,928,928,1240,1331,1403
